relpath	sha256	bytes	version
onboarding-v0.1.11/index.html	4a359726e4cf0fe72ca673a6057d6b83215e792652fda6d5004a71e70a96745a	16493	onboarding-v0.1.11
onboarding-v0.1.11/inspect/index.html	3f7c8e9d465195d5d4de15ce9066e25cd66889e9571400aec127a439752bf58c	10020	onboarding-v0.1.11
onboarding-v0.1.11/inspect/inspector.js	6e72217a8839fb361894c0772d309d6e778cd06213b5ab139370368fa70150e9	10700	onboarding-v0.1.11
onboarding-v0.1.11/scenes/01-approach.webp	7f08977f9f69d76be10e3b44d2889db8c92b92433afa00009bf08ca0c31a96a7	320598	onboarding-v0.1.11
onboarding-v0.1.11/scenes/02-preparation.webp	6873002c35e0c48c9625d03193d8817abf33974c45da34d2d28d650c34823cd1	204294	onboarding-v0.1.11
onboarding-v0.1.11/scenes/03-connection.webp	fd158e958d0f698ba29e131329438bbcdec922c8f248cdcc29b1385d91942656	230054	onboarding-v0.1.11
onboarding-v0.1.11/scenes/04-introduction.webp	aa9f23448e9e3a21110e7bdb86d7c0cb8935cfd86d3a6d0f3fbdb624f1692eae	269670	onboarding-v0.1.11
onboarding-v0.1.11/scenes/05-departure.webp	66d78eaa61684be7ea58ac74d98705a9634324469f398f52639dd0a47ea9d5b0	292826	onboarding-v0.1.11
onboarding-v0.1.11/shared.css	407eb6a99ad1a7c2f46d8df565e3365c066f89be8ca88cabe8ff652685d1a232	20947	onboarding-v0.1.11
onboarding-v0.1.11/three-libs/draco/draco_decoder.js	8625489da79a805f4f2a7d511c3e52d8b4085608a9d2a4d5f4f9de5db0aea04f	512465	onboarding-v0.1.11
onboarding-v0.1.11/three-libs/draco/draco_decoder.wasm	a680d927bed9cb864ddbd63521868891af2bfbe755092761b4837487618df8ac	192420	onboarding-v0.1.11
onboarding-v0.1.11/three-libs/draco/draco_wasm_wrapper.js	8bb2952d2ba7d67e1414f8df819410cb0434a666be53f671fff75f68843d76f6	58456	onboarding-v0.1.11
onboarding-v0.1.11/three-libs/three/addons/loaders/DRACOLoader.js	65c114ecb7b349cdc59c75b2c92d19cca672a138060dba0f60f64262fa40408c	13628	onboarding-v0.1.11
onboarding-v0.1.11/three-libs/three/addons/loaders/GLTFLoader.js	d073b438e6a07e1359741dd5d6c76c953420cc0d4fd84eb1bdde94315540e6a3	108522	onboarding-v0.1.11
onboarding-v0.1.11/three-libs/three/addons/utils/BufferGeometryUtils.js	b0c64fe6f3b9907262921b73fafc4ade874c07ba6b4876e164c87a830c2c2113	31554	onboarding-v0.1.11
onboarding-v0.1.11/three-libs/three/three.module.js	e7348ab8c7bf7a41f7afc5fe503c20a0ed090d9536aacf1ee975d7aaee24d394	1280747	onboarding-v0.1.11
onboarding-v0.1.12/CHANGELOG.md	5629b64ac733d6bc9f0ab10bf73b29318c85615a87ba24e4a7e5f2c88811bcd6	9535	onboarding-v0.1.12
onboarding-v0.1.12/README.md	9d72ec4245a130ed8a10e73f83d43a60cd3350e9f6cbad16c06eef1ad4c0ebea	2918	onboarding-v0.1.12
onboarding-v0.1.12/VERSION	ad4255b8fa093a69dbab8cebf7f84a19f90686a36e93cf7eebad6bdd53557ebc	15	onboarding-v0.1.12
onboarding-v0.1.12/assets/chiefmonkey6.glb	36fcbb82ccae0aad13578f986ea214f6fc056b4a86c6284975ce6216924161fe	1227020	onboarding-v0.1.12
onboarding-v0.1.12/character.js	5f62db2b67d0bcae5e1b19d305cae8901047ed7cd8aad0cbf6f2b98bb419d7b7	12398	onboarding-v0.1.12
onboarding-v0.1.12/deck.js	e6886fa4bb346ec31b25fb1b58378f84d97755f0c2bf72aaaaee2536b7be18c0	3944	onboarding-v0.1.12
onboarding-v0.1.12/index.html	072f6836c8b6f1942da83a48180df01f3109ff02ba551a98e85610fcb7d00979	17677	onboarding-v0.1.12
onboarding-v0.1.12/inspect/index.html	3f7c8e9d465195d5d4de15ce9066e25cd66889e9571400aec127a439752bf58c	10020	onboarding-v0.1.12
